Όνομα Μαθήματος,Περίοδος,Εξάμηνο
ΕΝΣΩΜΑΤΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ,Χειμερινό Εξάμηνο,9ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά Κατ' Επι
ΛΟΓΙΣΜΙΚΟ & ΠΡΟΓΡ/ΣΜΟΣ ΣΥΣΤΗΜ ΥΨΗΛ ΕΠΙΔ,Χειμερινό Εξάμηνο,7ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά Κατ' Επι
ΜΙΚΡΟΫΠΟΛΟΓΙΣΤΕΣ,Χειμερινό Εξάμηνο,7ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΕΠΙΣΤΗΜΟΝΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ,Χειμερινό Εξάμηνο,7ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΨΗΦΙΑΚΕΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,Χειμερινό Εξάμηνο,7ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΘΕΩΡΙΑ ΓΡΑΦΗΜΑΤΩΝ ΚΑΙ ΕΦΑΡΜΟΓΕΣ,Χειμερινό Εξάμηνο,3ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΒΑΣΙΚΑ ΘΕΜΑΤΑ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ ΥΠΟΛΟΓΙΣΤΩΝ,Χειμερινό Εξάμηνο,3ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΜΑΘΗΜΑΤΙΚΑ Ι,Χειμερινό Εξάμηνο,1ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΤΕΧΝΟΛΟΓΙΕΣ ΥΛΟΠΟΙΗΣΗΣ ΑΛΓΟΡΙΘΜΩΝ,Εαρινό Εξάμηνο,8ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά Κατ' Επι
ΕΞΟΡΥΞΗ ΔΕΔΟΜΕΝΩΝ ΚΑΙ ΑΛΓΟΡΙΘΜΟΙ ΜΑΘΗΣΗΣ,Εαρινό Εξάμηνο,8ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά Κατ' Επι
ΤΕΧΝΟΛΟΓΙΑ ΛΟΓΙΣΜΙΚΟΥ,Εαρινό Εξάμηνο,8ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΠΡΟΗΓΜΕΝΟΙ ΜΙΚΡΟΕΠΕΞΕΡΓΑΣΤΕΣ,Εαρινό Εξάμηνο,8ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΩΝ,Εαρινό Εξάμηνο,6ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΔΙΚΤΥΑ ΥΠΟΛΟΓΙΣΤΩΝ,Εαρινό Εξάμηνο,6ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΑΡΧΕΣ ΓΛΩΣΣΩΝ ΠΡΟΓΡ/ΤΙΣΜΟΥ & ΜΕΤΑΦΡΑΣΤΩΝ,Εαρινό Εξάμηνο,6ο Εξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΑΡΙΘΜΗΤΙΚΗ ΑΝΑΛΥΣΗ & ΠΕΡΙΒΑΛΛΟΝΤΑ ΥΛΟΠΟΙ,Εαρινό Εξάμηνο,4o Eξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΣΥΓΧΡΟΝΑ ΘΕΜΑΤΑ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ ΥΠΟΛΟΓΙΣΤ,Εαρινό Εξάμηνο,4o Eξάμηνο ΜΗΥ&Π - Υποχρεωτικά
ΘΕΩΡΙΑ ΣΗΜΑΤΩΝ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ,Εαρινό Εξάμηνο,4o Eξάμηνο ΜΗΥ&Π - Υποχρεωτικά
